_id,ID,NAME,ADDRESS,ADDRESS_POINT_ID,ADDRESS_ID,CENTRELINE_ID,MAINT_STAGE,ADDRESS_NUMBER,LINEAR_NAME_FULL,POSTAL_CODE,GENERAL_USE,CLASS_FAMILY_DESC,ADDRESS_ID_LINK,PLACE_NAME,X,Y,LATITUDE,LONGITUDE,WARD_NAME,MUNICIPALITY_NAME,OBJECTID,geometry
67,56,FIRE STATION 333,207 FRONT ST E,6661414,1460804,1145261,REGULAR,207,Front St E,,Fire Station,"Structure, Structure Entrance",184651.0,Fire Station 333,,,,,Toronto Centre (13),former Toronto,3119337,"{u'type': u'Point', u'coordinates': (-79.366153969, 43.650520808)}"
68,38,FIRE STATION 241,3325 WARDEN AVE,396134,387652,14663726,REGULAR,3325,Warden Ave,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 241,,,,,Scarborough-Agincourt (22),Scarborough,3174616,"{u'type': u'Point', u'coordinates': (-79.3238025418, 43.8140419797)}"
69,19,FIRE STATION 145,20 BEFFORT RD,6275804,438727,6275627,REGULAR,20,Beffort Rd,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 145,,,,,York Centre (6),North York,3186765,"{u'type': u'Point', u'coordinates': (-79.4600322096, 43.7347555131)}"
70,37,FIRE STATION 235,200 BERMONDSEY RD,6686397,310729,6682365,REGULAR,200,Bermondsey Rd,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 235,,,,,Don Valley East (16),North York,3217085,"{u'type': u'Point', u'coordinates': (-79.3149344231, 43.7242534211)}"
71,81,FIRE STATION 442,2015 LAWRENCE AVE W,9796836,34953,9796835,REGULAR,2015,Lawrence Ave W,,Fire/Ambulance Stations,"Land, Structure, Structure Entrance",,"Fire Station 442, Ambulance Station 10",,,,,York South-Weston (5),York,3234576,"{u'type': u'Point', u'coordinates': (-79.5123844109, 43.7005987012)}"
72,65,FIRE STATION 411,75 TORYORK DR,13497504,938809,10367893,REGULAR,75,Toryork Dr,,Fire Station,"Structure, Structure Entrance",1524756.0,Fire Station 411,,,,,Humber River-Black Creek (7),North York,3301795,"{u'type': u'Point', u'coordinates': (-79.5491654347, 43.7552582621)}"
73,2,FIRE STATION 112,5700 BATHURST ST,9313399,413809,14661127,REGULAR,5700,Bathurst St,,Fire/Ambulance Stations,"Land, Structure, Structure Entrance",,"Fire Station 112, Ambulance Station 55",,,,,York Centre (6),North York,3311629,"{u'type': u'Point', u'coordinates': (-79.4442860463, 43.7762855215)}"
74,1,FIRE STATION 111,3300 BAYVIEW AVE,9602654,416759,20050112,REGULAR,3300,Bayview Ave,,Fire/Ambulance Stations,"Land, Structure, Structure Entrance",,"Fire Station 111, Ambulance Station 56",,,,,Willowdale (18),North York,3311708,"{u'type': u'Point', u'coordinates': (-79.3936558799, 43.7901270073)}"
75,4,FIRE STATION 114,12 CANTERBURY PL,13498086,414669,438636,REGULAR,12,Canterbury Pl,,Fire/Ambulance Stations,"Land, Structure, Structure Entrance",,"Fire Station 114, Ambulance Station 58",,,,,Willowdale (18),North York,3311726,"{u'type': u'Point', u'coordinates': (-79.4153547749, 43.7726358501)}"
76,39,FIRE STATION 242,2733 BRIMLEY RD,9487007,369709,30060358,REGULAR,2733,Brimley Rd,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 242,,,,,Scarborough North (23),Scarborough,3799489,"{u'type': u'Point', u'coordinates': (-79.2772562803, 43.8069196446)}"
77,64,FIRE STATION 346 CNE,90 QUEBEC ST,13497616,1460475,30060516,REGULAR,90,Quebec St,,Fire Station,"Structure, Structure Entrance",159995.0,Fire Station 346,,,,,Spadina-Fort York (10),former Toronto,3800221,"{u'type': u'Point', u'coordinates': (-79.421329727, 43.633676984)}"
78,57,FIRE STATION 334 HARBOURFRONT,339 QUEENS QUAY  W,14069050,160699,10223459,REGULAR,339,Queens Quay W,,Fire/Ambulance Stations,"Land, Structure, Structure Entrance",,"Hto Park,Maple Leaf Quay",,,,,Spadina-Fort York (10),former Toronto,4061713,"{u'type': u'Point', u'coordinates': (-79.3886130164, 43.6376903109)}"
79,51,FIRE STATION 324,840 GERRARD ST E,808592,240689,14024937,REGULAR,840,Gerrard St E,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 324,,,,,Toronto-Danforth (14),former Toronto,4135973,"{u'type': u'Point', u'coordinates': (-79.3435181859, 43.6677666816)}"
80,16,FIRE STATION 141,4100 KEELE ST,30013624,1494773,30020840,REGULAR,4100,Keele St,,Fire/Ambulance Stations,"Land, Structure, Structure Entrance",,Fire Station 141,,,,,Humber River-Black Creek (7),North York,4149403,"{u'type': u'Point', u'coordinates': (-79.4927235946, 43.7668215104)}"
81,45,FIRE STATION 313,441 BLOOR ST E,14120199,247686,1141663,REGULAR,441,Bloor St E,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 313,,,,,Toronto Centre (13),former Toronto,4164722,"{u'type': u'Point', u'coordinates': (-79.3755640528, 43.6720950558)}"
82,58,FIRE STATION 335,235 CIBOLA AVE,14076406,183734,30086097,REGULAR,235,Cibola Ave,,Fire/Ambulance Stations,"Land, Structure, Structure Entrance",,"Fire Station 335, Ambulance Station 59",,,,,Spadina-Fort York (10),former Toronto,4173463,"{u'type': u'Point', u'coordinates': (-79.3590745052, 43.625400746)}"
83,63,FIRE STATION 345,1287 DUFFERIN ST,10363761,137248,30101053,REGULAR,1287,Dufferin St,,Unknown,"Land, Structure, Structure Entrance",,,,,,,Davenport (9),former Toronto,4256601,"{u'type': u'Point', u'coordinates': (-79.4381526809, 43.667401128)}"
84,15,FIRE STATION 135,325 CHAPLIN CRES,8168331,104081,8166572,REGULAR,325,Chaplin Cres,,Unknown,"Land, Structure, Structure Entrance",,Fire Station 135,,,,,Eglinton-Lawrence (8),former Toronto,4271268,"{u'type': u'Point', u'coordinates': (-79.4187941158, 43.7031244599)}"
