,Incident_Numberinc_,t0,t1,t2,t3,t4
86,F11161373,0.88517994,0.02857456,0.028662385,0.0286597,0.028923433
87,F18003922,0.029287806,0.028694663,0.028724995,0.028791968,0.88450056
88,F18124641,0.10001332,0.10000001,0.10014155,0.5998451,0.10000002
89,F18026481,0.70325816,0.0333335,0.033383727,0.19669123,0.033333346
90,F18021628,0.10001332,0.10000001,0.10014284,0.5998438,0.10000002
91,F12051329,0.01825436,0.018182319,0.6414055,0.30376738,0.018390408
92,F15038318,0.05064478,0.42991596,0.050331797,0.050306495,0.4188009
93,F19006726,0.14268063,0.028688446,0.186457,0.02863035,0.61354357
94,F18035736,0.6623708,0.2499454,0.028796272,0.028939847,0.029947704
95,F15095352,0.14168522,0.014286935,0.014337425,0.8152595,0.014430897
96,F14003158,0.4199018,0.5200763,0.020005664,0.02000252,0.020013746
97,F12044068,0.19567227,0.40810862,0.025358511,0.34585214,0.025008406
98,F18112836,0.033599515,0.035320792,0.033394318,0.034068488,0.8636168
99,F14085977,0.066675335,0.73322433,0.06676424,0.066668324,0.066667795
100,F18083137,0.7032601,0.033333495,0.033384103,0.19668894,0.033333343
101,F16115974,0.028754273,0.028723529,0.45351252,0.46020222,0.028807435
102,F16094694,0.7979708,0.050004408,0.050339065,0.05032989,0.051355813
103,F13097649,0.69958663,0.20041114,0.03333432,0.03333373,0.033334155
104,F19041152,0.10001332,0.10000001,0.10014244,0.5998442,0.10000002
105,F18094124,0.79672664,0.050035644,0.050378796,0.050643504,0.052215397
106,F15051372,0.05000551,0.050000004,0.05006007,0.7999344,0.05000001
107,F13003663,0.10002988,0.5998779,0.100082874,0.10000568,0.10000372
108,F12091284,0.022224927,0.022222668,0.02224579,0.9110682,0.022238394
109,F13087926,0.040421642,0.040040795,0.83811486,0.040289998,0.041132756
110,F17035952,0.8856221,0.02859878,0.028597731,0.028582314,0.028599052
111,F13090085,0.050081205,0.79943115,0.050106976,0.050162073,0.05021858
112,F17002286,0.022313748,0.022224719,0.022287674,0.022355432,0.9108184
113,F15039495,0.10322715,0.10110336,0.5909024,0.100868024,0.10389911
114,F17022267,0.88517874,0.02857456,0.028662385,0.0286597,0.028924614
115,F17076638,0.30427933,0.494205,0.0672056,0.06688458,0.06742553
116,F12062935,0.7333296,0.06666896,0.06666668,0.066667385,0.066667326
117,F16108442,0.025136624,0.025864387,0.8985299,0.025097862,0.025371265
118,F19035549,0.10001331,0.099999994,0.1001424,0.5998443,0.1
119,F16063401,0.29355383,0.6206945,0.028577577,0.028581006,0.028593095
120,F13034505,0.6372913,0.24107878,0.04027271,0.04026395,0.041093305
121,F11032220,0.040007774,0.83996886,0.04002075,0.04000148,0.04000117
122,F17004618,0.02500345,0.7981234,0.025134983,0.025962023,0.12577617
123,F18089935,0.10001332,0.10000001,0.10014145,0.59984523,0.10000002
124,F16094800,0.022717264,0.022332655,0.30756876,0.6232162,0.024165139
125,F19037760,0.10001332,0.10000001,0.10014146,0.5998452,0.10000002
126,F12113881,0.8651548,0.033440232,0.03374331,0.03353164,0.034129996
127,F17032833,0.04000724,0.83994865,0.04004182,0.04000138,0.040000916
128,F14029335,0.022595413,0.022231767,0.6788837,0.25338715,0.02290197
129,F11006566,0.029978903,0.028783116,0.028812258,0.52741325,0.38501248
130,F11055761,0.022223977,0.024464196,0.6845205,0.02229602,0.2464953
131,F18043990,0.10508332,0.016729364,0.8445242,0.016748305,0.016914772
132,F13023502,0.028577842,0.88567835,0.02858465,0.02857289,0.028586252
133,F19037693,0.100013316,0.099999994,0.10014286,0.5998438,0.1
134,F19067746,0.06668231,0.0722386,0.06674953,0.727662,0.066667564
135,F11097263,0.7333296,0.06666896,0.06666668,0.066667385,0.066667326
136,F12086401,0.10002988,0.5998779,0.100082815,0.10000568,0.10000372
137,F12046007,0.010000961,0.010000232,0.6976872,0.27230212,0.010009469
138,F19066757,0.028671125,0.0285743,0.028638154,0.028676188,0.88544023
139,F17005456,0.79795635,0.050004415,0.050339114,0.05032994,0.051370215
140,F14046428,0.040010273,0.8399537,0.040031504,0.04000375,0.04000073
141,F14036696,0.38472497,0.012500444,0.40147525,0.18878314,0.012516222
142,F13064674,0.033423245,0.03333385,0.033389024,0.033413857,0.86644006
143,F12119547,0.03336716,0.03557587,0.03336163,0.034048557,0.8636468
144,F13097343,0.040013112,0.41971526,0.040007442,0.04000364,0.46026057
145,F15019728,0.37354806,0.033378042,0.5263866,0.03335232,0.03333493
146,F17099532,0.9199952,0.020001452,0.020002533,0.020000517,0.02000029
147,F12036946,0.050017603,0.79992133,0.05005543,0.050004404,0.05000117
148,F17042809,0.040007245,0.8399487,0.040041752,0.040001385,0.04000092
149,F15093849,0.06668963,0.7331774,0.066677324,0.06667044,0.06678514
150,F14082859,0.05000551,0.050000004,0.050059944,0.7999345,0.05000001
151,F15007819,0.016726969,0.016672535,0.9330504,0.016717624,0.01683248
152,F13085982,0.47908098,0.040001072,0.040015064,0.040071648,0.40083128
153,F17112593,0.2003653,0.69944686,0.033444755,0.033397812,0.033345286
154,F16009531,0.06689464,0.73225206,0.06669915,0.06668194,0.06747224
155,F18022884,0.05028053,0.05000572,0.33391193,0.050200216,0.51560163
156,F16082510,0.7979557,0.050004408,0.050339106,0.05032993,0.05137081
157,F18023918,0.025003484,0.025000563,0.025029939,0.89994514,0.025020905
158,F11060353,0.04030705,0.6783305,0.041136928,0.040070765,0.20015472
159,F16100741,0.66159177,0.23797941,0.03341915,0.033360157,0.033649508
160,F11073940,0.018183136,0.018183142,0.01819691,0.9272007,0.01823612
161,F18092933,0.100029886,0.5998778,0.10008291,0.10000568,0.10000372
162,F18058957,0.04000007,0.04000686,0.040008217,0.040264558,0.83972025
163,F15085274,0.033456594,0.8631245,0.036172647,0.033901263,0.03334501
164,F16024373,0.033359297,0.36859787,0.1998234,0.034630463,0.363589
165,F16032790,0.81393313,0.022227786,0.022281593,0.11915488,0.022402635
166,F18121669,0.8659093,0.033346996,0.033463623,0.03345837,0.033821758
167,F11046820,0.03333844,0.86663246,0.03336067,0.03333431,0.03333411
168,F18119712,0.06667439,0.06666667,0.06675154,0.73324066,0.06666668
169,F15007980,0.02000139,0.020001626,0.020016097,0.9199138,0.020067044
170,F13051654,0.3627517,0.050425496,0.051517487,0.050268237,0.48503706
171,F13033460,0.040402316,0.040002786,0.8381852,0.0402733,0.041136384
172,F12016928,0.040571768,0.63989043,0.04093725,0.040391445,0.23820908
173,F18071023,0.016734062,0.01674312,0.9329712,0.016874742,0.016676921
174,F11078077,0.040010255,0.8399356,0.040050913,0.040002584,0.040000707
175,F18131368,0.025279678,0.025137061,0.025259342,0.5882421,0.33608186
176,F11032152,0.100622304,0.5987939,0.100109264,0.10004995,0.10042456
177,F14053303,0.028579202,0.88567305,0.028587526,0.02857366,0.028586572
178,F15079021,0.19388913,0.19503422,0.04001587,0.040008668,0.5310522
179,F15050841,0.029090501,0.029239802,0.029277561,0.88315165,0.029240485
180,F17044526,0.8399965,0.040000193,0.040002998,0.04000032,0.04000001
181,F13104181,0.020014541,0.021101082,0.9184397,0.020137692,0.020306993
182,F18088324,0.022361428,0.5744686,0.022323258,0.022351867,0.3584948
183,F16047684,0.70969623,0.02000245,0.020101925,0.020095805,0.23010354
184,F17017033,0.6726035,0.040070485,0.040380836,0.04006997,0.20687518
185,F18134219,0.7032592,0.0333335,0.033383917,0.19669002,0.033333346
186,F15068345,0.040002495,0.83998877,0.040007845,0.040000543,0.040000394
187,F16050170,0.06667534,0.7332245,0.06676402,0.06666833,0.0666678
188,F18051646,0.10001332,0.10000001,0.100141995,0.5998447,0.10000002
189,F13015713,0.018252844,0.018183634,0.018244464,0.92689115,0.018427866
190,F19056261,0.06748255,0.06672356,0.06697483,0.06701591,0.7318031
191,F12035683,0.016710237,0.3409823,0.5303047,0.016688608,0.09531421
192,F14027581,0.7979683,0.050004408,0.050339073,0.050329898,0.051358238
193,F18059376,0.028591333,0.3083888,0.028597461,0.028606806,0.6058156
194,F12010493,0.028678669,0.45659342,0.02901752,0.028655333,0.45705506
195,F15055382,0.10018394,0.100006536,0.100769155,0.10010213,0.5989383
196,F18111347,0.06671543,0.39744627,0.40223303,0.06667809,0.06692718
197,F14024112,0.033340644,0.8666077,0.033348184,0.033339303,0.0333641
198,F16054656,0.020184409,0.02000969,0.67362046,0.2661599,0.020025574
199,F13041708,0.050320998,0.05172608,0.05041546,0.050473314,0.7970642
200,F18080231,0.06667069,0.06666685,0.06670796,0.73328763,0.06666683
201,F19038278,0.41088915,0.34542248,0.21701822,0.013334353,0.01333581
202,F12094829,0.5994118,0.100395665,0.10000984,0.10000688,0.10017586
203,F14057430,0.29189804,0.06717827,0.067222096,0.066884674,0.5068169
204,F19058198,0.2,0.2,0.2,0.2,0.2
205,F17085496,0.06667543,0.73313904,0.066847615,0.0666687,0.06666918
206,F18097204,0.02005582,0.6127135,0.020037996,0.020062983,0.3271297
207,F12076496,0.86596626,0.033402096,0.033637274,0.033453755,0.03354066
208,F11038718,0.10002987,0.59987795,0.10008279,0.10000568,0.10000372
209,F17002972,0.10148054,0.10000961,0.10100107,0.10097193,0.5965369
210,F16024683,0.10002988,0.5998779,0.100082844,0.10000568,0.10000372
211,F19064745,0.8989379,0.025009349,0.025145043,0.02519482,0.025712892
212,F11122265,0.7730315,0.1268607,0.033374824,0.033355772,0.033377282
213,F11019736,0.01671973,0.016668018,0.0167026,0.016744213,0.9331655
214,F14031749,0.53324246,0.3917316,0.025022695,0.025002155,0.025001151
215,F12005823,0.01428771,0.014286019,0.44147578,0.51563513,0.014315375
216,F14035490,0.06669491,0.73320574,0.06675702,0.06667428,0.06666806
217,F13095337,0.016702643,0.016666865,0.5237239,0.016718728,0.42618787
218,F18118163,0.01428771,0.014286019,0.44145682,0.5156539,0.014315533
219,F11159324,0.022421481,0.46205175,0.02236753,0.02235355,0.4708057
220,F13014722,0.04041768,0.040002823,0.040325057,0.83807564,0.041178863
221,F11150923,0.86407197,0.03456078,0.033560783,0.03360087,0.03420556
222,F16117725,0.02857684,0.8856723,0.028582128,0.028575698,0.02859302
223,F15110034,0.025000503,0.025002409,0.025003972,0.025112053,0.89988106
224,F18082600,0.02857579,0.02857149,0.7861393,0.1281139,0.028599525
225,F16121723,0.040005364,0.839958,0.040034767,0.04000103,0.040000882
226,F14071884,0.20957534,0.010000833,0.3006334,0.4697454,0.0100450115
227,F18131481,0.10804239,0.014286614,0.014311677,0.84903765,0.014321699
228,F14059427,0.7607604,0.15328689,0.028709143,0.028668255,0.028575288
229,F15015576,0.020013245,0.41355175,0.020003183,0.020059025,0.5263728
230,F12073748,0.050851546,0.05018831,0.050707962,0.050296288,0.79795593
231,F18124241,0.10094449,0.100067206,0.10073742,0.10126247,0.59698844
232,F11009316,0.040904142,0.43213692,0.4432881,0.040592935,0.043077964
233,F11042524,0.041582566,0.040262304,0.040270623,0.040376835,0.8375077
234,F18034914,0.028591122,0.17133012,0.17202435,0.028628128,0.59942627
235,F12041248,0.100000404,0.5994418,0.10055144,0.100001335,0.10000496
236,F16094866,0.015391335,0.0153869325,0.74395233,0.2098457,0.0154237
237,F12074644,0.7333296,0.06666896,0.06666668,0.066667385,0.066667326
